complaint_id,description,category,priority,assigned_department
1,unsafe public area has been noticed near the main road and may become worse if ignored.,Safety,Medium,Public Safety
2,Residents are reporting overflowing water tank around the market. Please inspect and resolve it.,Water,Medium,Water Supply
3,Please send a team to the market; there is pothole that needs attention.,Roads,Medium,Roads & Works
4,Please send a team to the neighborhood entrance; there is broken streetlight that needs attention.,Electricity,High,Electricity
5,Please send a team to the community center; there is dangerous intersection that needs attention.,Safety,Medium,Public Safety
6,"The the apartment block has blocked drain, and people are having difficulty using the area.",Drainage,Medium,Drainage & Sewerage
7,Please send a team to the school; there is sewer blockage that needs attention.,Drainage,High,Drainage & Sewerage
8,Urgent attention is needed at the market because of blocked drain.,Drainage,Low,Drainage & Sewerage
9,There is a sewage overflow near the residential street. It is causing problems for residents.,Drainage,Critical,Drainage & Sewerage
10,Residents are reporting abandoned structure around the neighborhood entrance. Please inspect and resolve it.,Safety,High,Public Safety
11,overflowing garbage bin has been noticed near the neighborhood entrance and may become worse if ignored.,Waste,High,Waste Management
12,Please send a team to the local mosque; there is exposed electrical wire that needs attention.,Electricity,Critical,Electricity
13,Please send a team to the main road; there is unsafe public area that needs attention.,Safety,High,Public Safety
14,Residents are reporting damaged road around the street corner. Please inspect and resolve it.,Roads,Medium,Roads & Works
15,Citizens are concerned about plastic waste at the street corner. Kindly investigate.,Waste,Low,Waste Management
16,overflowing drain has been noticed near the railway crossing and may become worse if ignored.,Drainage,High,Drainage & Sewerage
17,"The the market has broken sidewalk, and people are having difficulty using the area.",Safety,Medium,Public Safety
18,Urgent attention is needed at the hospital road because of broken water pipe.,Water,Medium,Water Supply
19,Please send a team to the neighborhood entrance; there is broken sidewalk that needs attention.,Safety,Medium,Public Safety
20,There is a damaged road near the street corner. It is causing problems for residents.,Roads,High,Roads & Works
21,Please send a team to the market; there is uncollected garbage that needs attention.,Waste,High,Waste Management
22,Please send a team to the public park; there is loose cable that needs attention.,Electricity,Medium,Electricity
23,"The the hospital road has plastic waste, and people are having difficulty using the area.",Waste,Medium,Waste Management
24,overflowing water tank has been noticed near the neighborhood entrance and may become worse if ignored.,Water,High,Water Supply
25,Citizens are concerned about construction waste at the community center. Kindly investigate.,Waste,Medium,Waste Management
26,Residents are reporting water supply interruption around the hospital road. Please inspect and resolve it.,Water,High,Water Supply
27,"The the railway crossing has damaged road, and people are having difficulty using the area.",Roads,High,Roads & Works
28,Urgent attention is needed at the market because of construction waste.,Waste,Medium,Waste Management
29,There is a construction waste near the residential street. It is causing problems for residents.,Waste,Medium,Waste Management
30,uneven road has been noticed near the drainage lane and may become worse if ignored.,Roads,High,Roads & Works
31,Urgent attention is needed at the residential street because of blocked drain.,Drainage,Low,Drainage & Sewerage
32,uneven road has been noticed near the drainage lane and may become worse if ignored.,Roads,High,Roads & Works
33,Residents are reporting water supply interruption around the drainage lane. Please inspect and resolve it.,Water,High,Water Supply
34,Please send a team to the neighborhood entrance; there is flooded drain that needs attention.,Drainage,Critical,Drainage & Sewerage
35,"The the apartment block has low water pressure, and people are having difficulty using the area.",Water,Medium,Water Supply
36,Citizens are concerned about broken streetlight at the local mosque. Kindly investigate.,Electricity,Medium,Electricity
37,broken pavement has been noticed near the drainage lane and may become worse if ignored.,Roads,Medium,Roads & Works
38,Residents are reporting water supply interruption around the market. Please inspect and resolve it.,Water,High,Water Supply
39,"The the apartment block has road excavation, and people are having difficulty using the area.",Roads,Low,Roads & Works
40,construction waste has been noticed near the school and may become worse if ignored.,Waste,Medium,Waste Management
41,Please send a team to the bus stop; there is damaged electric pole that needs attention.,Electricity,High,Electricity
42,Citizens are concerned about plastic waste at the railway crossing. Kindly investigate.,Waste,Medium,Waste Management
